city,total_tracts,valid_tracts,missing_tracts,overlap_count,lst_only_count,hi_only_count,neither_count,overlap_pct_of_valid,lst_only_pct_of_valid,hi_only_pct_of_valid,neither_pct_of_valid,jaccard_index,lst_overlap_rate,hi_overlap_rate
Houston,654,549,105,44,66,96,343,8.0,12.0,17.5,62.5,0.214,0.4,0.314
Phoenix,373,332,41,30,37,43,222,9.0,11.1,13.0,66.9,0.273,0.448,0.411
